 Location:  5S  95W  24 Apr 1994 to 10 May 2012 ( 6592 times, 11 blocks) Gen. Date Nov 24 2013
 Units: Winds (M/S), W. Dir (DEG), -99.9 = missing, (1,1) is NE at sqrt(2) m/s
 Time: 1200 24 Apr 1994 to 1200 15 Mar 1997 (index     1 to  1057, 1057 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19950131 1200  -3.0   5.0   5.8 329.1 12 55
 19950201 1200  -3.0   3.3   4.4 317.7 12 55
 19950202 1200  -3.6   3.9   5.3 317.3 12 55
 19950203 1200  -3.7   4.9   6.1 322.7 12 55
 19950204 1200  -4.0   5.5   6.8 324.1 12 55
 19950205 1200  -2.6   2.3   3.5 310.9 12 55
 19950206 1200  -4.1   2.0   4.6 295.8 12 55
 19950207 1200  -1.3   0.8   1.6 302.2 12 55
 19950208 1200  -3.7   2.9   4.7 307.8 12 55
 19950209 1200  -5.0   4.1   6.5 309.2 12 55
 19950210 1200  -5.6   5.2   7.6 312.5 12 55
 19950211 1200  -4.5   4.9   6.7 317.2 12 55
 19950212 1200  -3.3   1.1   3.5 288.2 12 55
 19950213 1200  -4.9   4.0   6.3 309.2 12 55
 19950214 1200  -5.0   4.4   6.7 311.4 12 55
 19950215 1200  -4.4   7.0   8.2 327.7 12 55
 19950216 1200 -99.9 -99.9 -99.9 -99.9 00 00
 19950217 1200 -99.9 -99.9 -99.9 -99.9 00 00
 19950218 1200  -4.7   4.3   6.4 312.6 12 55
 19950219 1200  -4.6   5.2   7.0 318.6 12 55
 19950220 1200  -4.3   5.3   6.9 320.9 12 55
 19950221 1200  -4.9   4.5   6.6 312.3 12 55
 19950222 1200  -4.9   3.1   5.8 302.0 12 55
 19950223 1200  -6.4   2.7   7.0 293.0 12 55
 19950224 1200  -5.6   3.6   6.7 303.1 12 55
 19950225 1200  -5.5   1.7   5.8 286.7 12 55
 19950226 1200  -3.8  -0.9   3.9 256.6 12 55
 19950227 1200  -4.2  -3.3   5.4 231.9 12 55
 19950228 1200  -3.0  -1.1   3.2 250.0 12 55
 19950301 1200  -5.0   0.7   5.1 277.7 12 55
 19950302 1200  -6.7   1.2   6.8 280.5 12 55
 19950303 1200  -6.7   1.9   6.9 286.1 12 55
 19950304 1200  -5.5   1.5   5.7 285.1 12 55
 19950305 1200  -5.6   2.8   6.2 296.6 12 55
 19950306 1200  -5.0   3.7   6.2 306.3 12 55
 19950307 1200  -4.8   3.8   6.1 308.6 12 55
 19950308 1200  -5.3   3.3   6.2 302.1 12 55
 19950309 1200  -2.7   1.4   3.1 297.9 12 55
 19950310 1200  -2.3   2.0   3.0 310.9 12 55
 19950311 1200  -3.7   2.9   4.7 308.0 12 55
 19950312 1200  -3.5   4.6   5.8 322.5 12 55
 19950313 1200  -2.9   6.1   6.8 334.6 12 55
 19950314 1200  -2.4   3.6   4.4 326.6 12 55
 19950315 1200  -4.7   2.9   5.6 301.7 12 55
 19950316 1200  -3.7   4.4   5.8 319.9 12 55
 19950317 1200  -5.4   3.7   6.5 304.3 12 55
 19950318 1200  -4.1   3.1   5.2 307.1 12 55
 19950319 1200  -2.5   3.8   4.5 326.4 12 55
 19950320 1200  -5.7   2.1   6.0 290.8 12 55
 19950321 1200  -5.4   2.2   5.9 292.5 12 55
 19950322 1200  -5.0   3.3   6.0 303.5 12 55
 19950323 1200  -5.2   2.3   5.7 293.5 12 55
 19950324 1200  -4.6   2.6   5.3 299.9 12 55
 19950325 1200  -5.8   1.4   6.0 283.2 12 55
 19950326 1200  -0.4   3.3   3.3 353.8 12 55
 19950327 1200  -1.6  -0.6   1.7 248.7 12 55
 19950328 1200  -5.2  -0.1   5.2 269.2 12 55
 19950329 1200  -6.8   1.8   7.1 285.0 12 55
 19950330 1200  -5.9   3.3   6.7 299.1 12 55
 19950331 1200  -5.5   3.6   6.6 303.1 12 55
 19950401 1200  -3.4   4.0   5.2 319.7 12 55
 19950402 1200  -4.4   1.4   4.6 287.8 12 55
 19950403 1200  -4.9   2.5   5.5 296.7 12 55
 19950404 1200  -3.9   3.2   5.0 309.3 12 55
 19950405 1200  -2.0   4.5   5.0 336.2 12 55
 19950406 1200  -2.7   3.0   4.1 318.1 12 55
 19950407 1200  -4.0   3.3   5.2 309.9 12 55
 19950408 1200  -4.5   3.0   5.4 303.9 12 55
 19950409 1200  -4.7   2.4   5.3 297.1 12 55
 19950410 1200  -6.1   3.6   7.1 300.3 12 55
 19950411 1200  -6.1   2.3   6.5 290.8 12 55
 19950412 1200  -5.3   1.9   5.6 289.3 12 55
 19950413 1200  -5.3   1.3   5.5 284.2 12 55
 19950414 1200  -7.2   3.6   8.0 297.0 12 55
 19950415 1200  -4.6   2.1   5.1 294.3 12 55
 19950416 1200  -4.0   3.2   5.1 308.5 12 55
 19950417 1200  -5.0   2.8   5.8 299.1 12 55
 19950418 1200  -4.2   3.7   5.5 311.6 12 55
 19950419 1200  -2.8   1.5   3.1 298.1 12 55
 19950420 1200  -1.3   1.5   2.0 319.5 12 55
 19950421 1200  -4.9   1.9   5.2 291.2 12 55
 19950422 1200  -6.9   2.6   7.4 290.4 12 55
 19950423 1200  -6.6   2.6   7.1 291.9 12 55
 19950424 1200  -5.4   2.8   6.0 297.2 12 55
 19950425 1200  -4.2   2.8   5.1 303.8 12 55
 19950426 1200  -4.2   3.3   5.3 308.2 12 55
 19950427 1200  -5.5   2.8   6.2 297.2 12 55
 19950428 1200  -3.9   3.6   5.3 312.9 12 55
 19950429 1200  -4.3   2.9   5.2 304.3 12 55
 19950430 1200  -5.9   2.2   6.3 290.5 12 55
 19950501 1200  -5.5   1.6   5.7 286.1 12 55
 19950502 1200  -5.2   1.4   5.3 285.0 12 55
 19950503 1200  -5.1   2.8   5.8 298.8 12 55
 19950504 1200  -6.3   3.0   7.0 295.9 12 55
 19950505 1200  -4.2   3.4   5.4 309.4 12 55
 19950506 1200  -3.0   2.1   3.6 305.1 12 55
 19950507 1200  -3.5   1.3   3.8 290.2 12 55
 19950508 1200  -5.1   0.6   5.2 276.4 12 55
 19950509 1200  -6.2   2.6   6.7 292.6 12 55
 19950510 1200  -5.3   2.6   5.9 296.4 12 55
 19950511 1200  -4.8   4.2   6.4 310.8 12 55
 19950512 1200  -5.9   3.9   7.0 303.1 12 55
 19950513 1200  -4.5   1.4   4.7 287.4 12 55
 19950514 1200  -4.8   2.0   5.2 292.8 12 55
 19950515 1200  -4.7   2.5   5.3 297.9 12 55
 19950516 1200  -3.0   3.5   4.5 319.4 12 55
 19950517 1200  -3.1   2.1   3.8 304.4 12 55
 19950518 1200  -3.6   1.4   3.8 291.0 12 55
 19950519 1200  -5.3   2.3   5.8 293.5 12 55
 19950520 1200  -4.8   2.3   5.3 295.6 12 55
 19950521 1200  -3.3   1.8   3.8 298.5 12 55
 19950522 1200  -4.3   0.8   4.3 280.8 12 55
 19950523 1200  -3.6   1.4   3.8 291.0 12 55
 19950524 1200  -3.1   2.2   3.8 305.5 12 55
 19950525 1200  -4.5   2.4   5.1 297.8 12 55
 19950526 1200  -4.1   2.2   4.6 298.0 12 55
 19950527 1200  -3.0   2.4   3.8 309.1 12 55
 19950528 1200  -4.7   3.7   6.0 307.9 12 55
 19950529 1200  -5.6   4.2   7.0 306.7 12 55
 19950530 1200  -5.0   4.3   6.6 311.1 12 55
 19950531 1200  -4.8   2.1   5.2 294.1 12 55
