 Location:  8N  95W   9 Aug 1994 to 19 Sep 2013 ( 6982 times,  5 blocks) Gen. Date Nov 23 2013
 Units: Sea Surface Temperature (C), -9.99 = missing
 Time: 1200  9 Aug 1994 to 1200 15 Mar 1995 (index     1 to   219,  219 times)
 Depth (M):        1 QUALITY SOURCE
 YYYYMMDD HHMM   SST Q S
 19960508 1200 29.57 1 5
 19960509 1200 29.40 1 5
 19960510 1200 29.38 1 5
 19960511 1200 29.29 1 5
 19960512 1200 29.43 1 5
 19960513 1200 29.43 1 5
 19960514 1200 29.43 1 5
 19960515 1200 29.41 1 5
 19960516 1200 29.59 1 5
 19960517 1200 29.43 1 5
 19960518 1200 29.13 1 5
 19960519 1200 29.01 1 5
 19960520 1200 29.07 1 5
 19960521 1200 28.76 1 5
 19960522 1200 28.90 1 5
 19960523 1200 28.91 1 5
 19960524 1200 28.83 1 5
 19960525 1200 28.89 1 5
 19960526 1200 28.86 1 5
 19960527 1200 28.68 1 5
 19960528 1200 28.68 1 5
 19960529 1200 28.92 1 5
 19960530 1200 28.88 1 5
 19960531 1200 28.82 1 5
 19960601 1200 28.85 1 5
 19960602 1200 28.84 1 5
 19960603 1200 28.91 1 5
 19960604 1200 29.15 1 5
 19960605 1200 29.08 1 5
 19960606 1200 29.13 1 5
 19960607 1200 29.10 1 5
 19960608 1200 29.02 1 5
 19960609 1200 29.12 1 5
 19960610 1200 29.04 1 5
 19960611 1200 29.28 1 5
 19960612 1200 28.84 1 5
 19960613 1200 28.56 1 5
 19960614 1200 28.49 1 5
 19960615 1200 28.55 1 5
 19960616 1200 28.63 1 5
 19960617 1200 28.73 1 5
 19960618 1200 28.56 1 5
 19960619 1200 28.16 1 5
 19960620 1200 27.93 1 5
 19960621 1200 27.76 1 5
 19960622 1200 27.74 1 5
 19960623 1200 27.74 1 5
 19960624 1200 27.74 1 5
 19960625 1200 27.70 1 5
 19960626 1200 27.69 1 5
 19960627 1200 27.64 1 5
 19960628 1200 27.55 1 5
 19960629 1200 27.68 1 5
 19960630 1200 27.68 1 5
 19960701 1200 27.29 1 5
 19960702 1200 27.18 1 5
 19960703 1200 27.40 1 5
 19960704 1200 27.17 1 5
 19960705 1200 27.04 1 5
 19960706 1200 27.46 1 5
 19960707 1200 27.49 1 5
 19960708 1200 27.60 1 5
 19960709 1200 27.99 1 5
 19960710 1200 28.53 1 5
 19960711 1200 28.22 1 5
 19960712 1200 28.05 1 5
 19960713 1200 28.10 1 5
 19960714 1200 28.13 1 5
 19960715 1200 28.24 1 5
 19960716 1200 28.36 1 5
 19960717 1200 28.25 1 5
 19960718 1200 27.84 1 5
 19960719 1200 27.85 1 5
 19960720 1200 28.04 1 5
 19960721 1200 28.04 1 5
 19960722 1200 28.10 1 5
 19960723 1200 28.31 1 5
 19960724 1200 28.34 1 5
 19960725 1200 28.37 1 5
 19960726 1200 28.57 1 5
 19960727 1200 28.44 1 5
 19960728 1200 28.06 1 5
 19960729 1200 27.69 1 5
 19960730 1200 27.60 1 5
 19960731 1200 27.65 1 5
 19960801 1200 27.61 1 5
 19960802 1200 27.57 1 5
 19960803 1200 27.88 1 5
 19960804 1200 28.02 1 5
 19960805 1200 27.82 1 5
 19960806 1200 27.75 1 5
 19960807 1200 27.62 1 5
 19960808 1200 27.67 1 5
 19960809 1200 27.54 1 5
 19960810 1200 27.32 1 5
 19960811 1200 27.56 1 5
 19960812 1200 27.74 1 5
 19960813 1200 27.54 1 5
 19960814 1200 27.43 1 5
 19960815 1200 27.52 1 5
 19960816 1200 27.92 1 5
 19960817 1200 28.15 1 5
 19960818 1200 28.02 1 5
 19960819 1200 28.11 1 5
 19960820 1200 27.40 1 5
 19960821 1200 27.18 1 5
 19960822 1200 27.23 1 5
 19960823 1200 27.16 1 5
 19960824 1200 27.31 1 5
 19960825 1200 27.42 1 5
 19960826 1200 27.23 1 5
 19960827 1200 27.22 1 5
 19960828 1200 27.14 1 5
 19960829 1200 26.92 1 5
 19960830 1200 26.77 1 5
 19960831 1200 27.24 1 5
 19960901 1200 27.58 1 5
 19960902 1200 27.65 1 5
 19960903 1200 27.72 1 5
 19960904 1200 27.35 1 5
 19960905 1200 27.59 1 5
 19960906 1200 27.55 1 5
 19960907 1200 27.25 1 5
 19960908 1200 27.40 1 5
 19960909 1200 27.41 1 5
 19960910 1200 27.75 1 5
 19960911 1200 28.12 1 5
 19960912 1200 27.86 1 5
 19960913 1200 27.65 1 5
 19960914 1200 27.93 1 5
 19960915 1200 27.73 1 5
 19960916 1200 27.07 1 5
 19960917 1200 27.22 1 5
 19960918 1200 27.37 1 5
 19960919 1200 27.72 1 5
 19960920 1200 27.39 1 5
 19960921 1200 27.41 1 5
 19960922 1200 26.82 1 5
 19960923 1200 26.86 1 5
 19960924 1200 26.94 1 5
 19960925 1200 26.65 1 5
 19960926 1200 26.71 1 5
 19960927 1200 26.76 1 5
 19960928 1200 26.79 1 5
 19960929 1200 26.65 1 5
 19960930 1200 26.24 1 5
 19961001 1200 25.98 1 5
 19961002 1200 26.06 1 5
 19961003 1200 26.60 1 5
 19961004 1200 27.02 1 5
 19961005 1200 26.79 1 5
 19961006 1200 26.67 1 5
 19961007 1200 26.58 1 5
 19961008 1200 26.31 1 5
 19961009 1200 26.31 1 5
 19961010 1200 26.42 1 5
 19961011 1200 26.28 1 5
 19961012 1200 26.31 1 5
 19961013 1200 25.97 1 5
 19961014 1200 25.86 1 5
 19961015 1200 25.83 1 5
 19961016 1200 25.86 1 5
 19961017 1200 25.89 1 5
 19961018 1200 26.15 1 5
 19961019 1200 26.22 1 5
 19961020 1200 26.07 1 5
 19961021 1200 26.14 1 5
 19961022 1200 26.26 1 5
 19961023 1200 -9.99 0 0
 19961024 1200 -9.99 0 0
 19961025 1200 26.57 2 5
 19961026 1200 27.11 2 5
 19961027 1200 27.41 2 5
 19961028 1200 27.08 2 5
 19961029 1200 27.39 2 5
 19961030 1200 27.53 2 5
 19961031 1200 27.76 2 5
 19961101 1200 27.79 2 5
 19961102 1200 27.72 2 5
 19961103 1200 27.82 2 5
 19961104 1200 27.83 2 5
 19961105 1200 27.60 2 5
 19961106 1200 27.46 2 5
 19961107 1200 27.48 2 5
 19961108 1200 27.57 2 5
 19961109 1200 27.55 2 5
 19961110 1200 27.51 2 5
 19961111 1200 27.01 2 5
 19961112 1200 26.99 2 5
 19961113 1200 26.98 2 5
 19961114 1200 27.17 2 5
 19961115 1200 27.34 2 5
 19961116 1200 27.53 2 5
 19961117 1200 27.35 2 5
 19961118 1200 27.33 2 5
 19961119 1200 27.35 2 5
 19961120 1200 27.21 2 5
 19961121 1200 26.72 2 5
 19961122 1200 27.16 2 5
 19961123 1200 26.93 2 5
 19961124 1200 26.75 2 5
 19961125 1200 26.93 2 5
 19961126 1200 27.08 2 5
 19961127 1200 27.08 2 5
 19961128 1200 26.76 2 5
 19961129 1200 26.69 2 5
 19961130 1200 26.55 2 5
 19961201 1200 26.62 2 5
 19961202 1200 26.65 2 5
 19961203 1200 26.53 2 5
 19961204 1200 26.58 2 5
 19961205 1200 26.64 2 5
 19961206 1200 26.86 2 5
 19961207 1200 26.83 2 5
 19961208 1200 26.60 2 5
 19961209 1200 26.56 2 5
