 Location:  2N  95W  16 Nov 1992 to 10 Jul 2013 ( 7542 times, 26 blocks) Gen. Date Nov 23 2013
 Units: Sea Surface Temperature (C), -9.99 = missing
 Time: 1200 16 Nov 1992 to 1200 21 Aug 1993 (index     1 to   279,  279 times)
 Depth (M):        1 QUALITY SOURCE
 YYYYMMDD HHMM   SST Q S
 19941130 1200 25.08 2 5
 19941201 1200 25.15 2 5
 19941202 1200 25.18 2 5
 19941203 1200 25.28 2 5
 19941204 1200 25.42 2 5
 19941205 1200 25.59 2 5
 19941206 1200 25.68 2 5
 19941207 1200 25.67 2 5
 19941208 1200 25.68 2 5
 19941209 1200 25.74 2 5
 19941210 1200 25.83 2 5
 19941211 1200 25.87 2 5
 19941212 1200 25.98 2 5
 19941213 1200 26.06 2 5
 19941214 1200 26.19 2 5
 19941215 1200 26.24 2 5
 19941216 1200 26.23 2 5
 19941217 1200 26.27 2 5
 19941218 1200 26.35 2 5
 19941219 1200 26.34 2 5
 19941220 1200 26.30 2 5
 19941221 1200 26.52 2 5
 19941222 1200 26.72 2 5
 19941223 1200 26.96 2 5
 19941224 1200 26.93 2 5
 19941225 1200 26.80 2 5
 19941226 1200 26.78 2 5
 19941227 1200 26.90 2 5
 19941228 1200 27.01 2 5
 19941229 1200 27.13 2 5
 19941230 1200 27.12 2 5
 19941231 1200 27.21 2 5
 19950101 1200 27.21 2 5
 19950102 1200 27.38 2 5
 19950103 1200 27.58 2 5
 19950104 1200 27.54 2 5
 19950105 1200 27.37 2 5
 19950106 1200 27.16 2 5
 19950107 1200 27.11 2 5
 19950108 1200 27.07 2 5
 19950109 1200 27.11 2 5
 19950110 1200 27.22 2 5
 19950111 1200 27.21 2 5
 19950112 1200 27.22 2 5
 19950113 1200 27.10 2 5
 19950114 1200 27.24 2 5
 19950115 1200 27.26 2 5
 19950116 1200 27.38 2 5
 19950117 1200 27.38 2 5
 19950118 1200 27.31 2 5
 19950119 1200 27.35 2 5
 19950120 1200 27.35 2 5
 19950121 1200 27.52 2 5
 19950122 1200 27.76 2 5
 19950123 1200 27.71 2 5
 19950124 1200 27.74 2 5
 19950125 1200 27.84 2 5
 19950126 1200 27.84 2 5
 19950127 1200 27.75 2 5
 19950128 1200 27.95 2 5
 19950129 1200 27.85 2 5
 19950130 1200 27.72 2 5
