 Location:  2S 125W   5 Nov 1991 to 23 May 2012 ( 7506 times,  6 blocks) Gen. Date Nov 24 2013
 Units: Winds (M/S), W. Dir (DEG), -99.9 = missing, (1,1) is NE at sqrt(2) m/s
 Time: 1200  5 Nov 1991 to 1200 26 Aug 1996 (index     1 to  1757, 1757 times)
 Depth (M):       -4    -4    -4    -4 QUALITY and SOURCE
 YYYYMMDD HHMM  UWND  VWND  WSPD  WDIR SD SD
 19920504 1200  -5.0   1.6   5.2 288.0 12 55
 19920505 1200  -5.0   1.8   5.3 289.8 12 55
 19920506 1200  -5.6   1.5   5.8 284.6 12 55
 19920507 1200  -5.2   0.9   5.3 280.0 12 55
 19920508 1200  -4.6   3.0   5.5 302.8 12 55
 19920509 1200  -5.5   2.8   6.2 296.9 12 55
 19920510 1200  -5.5   1.0   5.6 280.5 12 55
 19920511 1200  -6.5   1.6   6.7 283.6 12 55
 19920512 1200  -6.2   2.7   6.8 293.2 12 55
 19920513 1200  -6.0   4.8   7.7 308.6 12 55
 19920514 1200  -6.7   5.0   8.4 306.7 12 55
 19920515 1200  -5.5   3.5   6.5 302.3 12 55
 19920516 1200  -5.5   5.2   7.5 313.7 12 55
 19920517 1200  -6.0   2.5   6.5 292.2 12 55
 19920518 1200  -4.9   2.8   5.6 299.9 12 55
 19920519 1200  -4.4   2.6   5.2 300.6 12 55
 19920520 1200  -3.6   3.5   5.0 314.0 12 55
 19920521 1200  -4.0   2.4   4.7 300.7 12 55
 19920522 1200  -4.2   4.9   6.5 319.6 12 55
 19920523 1200  -4.8   2.6   5.5 298.7 12 55
 19920524 1200  -4.3   2.3   4.9 297.7 12 55
 19920525 1200  -3.6   5.0   6.2 324.6 12 55
 19920526 1200  -3.2   4.0   5.1 321.7 12 55
 19920527 1200  -5.4   0.8   5.5 278.4 12 55
 19920528 1200  -5.7   1.3   5.9 282.6 12 55
 19920529 1200  -6.3   1.3   6.4 281.6 12 55
 19920530 1200  -6.4   0.3   6.4 273.0 12 55
 19920531 1200  -4.8  -0.4   4.8 265.2 12 55
 19920601 1200  -6.9   1.1   7.0 279.1 12 55
 19920602 1200  -5.7   2.5   6.2 293.8 12 55
 19920603 1200  -6.0   2.9   6.7 295.9 12 55
 19920604 1200  -5.6   2.4   6.1 292.8 12 55
 19920605 1200  -7.1   4.0   8.1 299.6 12 55
 19920606 1200  -6.3   3.0   7.0 295.1 12 55
 19920607 1200  -6.3   0.9   6.4 278.2 12 55
 19920608 1200  -6.0  -0.3   6.0 266.8 12 55
 19920609 1200  -5.4  -0.9   5.4 260.1 12 55
 19920610 1200  -5.0  -1.1   5.1 257.7 12 55
 19920611 1200  -5.7  -0.3   5.7 267.3 12 55
 19920612 1200  -6.3  -0.4   6.3 266.0 12 55
 19920613 1200  -6.5   0.2   6.5 272.1 12 55
